Map;WorldBank
Latvia;Latvia
;Least developed countries: UN classification
Lebanon;Lebanon
Lesotho;Lesotho
Liberia;Liberia
Libya;Libya
Liechtenstein;Liechtenstein
Lithuania;Lithuania
;Low & middle income
;Low income
;Lower middle income
Luxembourg;Luxembourg
;Macao SAR, China
Macedonia;Macedonia, FYR
Madagascar;Madagascar
Madeira Islands;
Malawi;Malawi
Malaysia;Malaysia
Maldives;Maldives
Mali;Mali
Malta;Malta
Marshall Islands;Marshall Islands
Martinique;
Mauritania;Mauritania
Mauritius;Mauritius
Mayotte;
Mexico;Mexico
Micronesia;Micronesia, Fed Sts
;Middle East & North Africa
;Middle East & North Africa (excluding high income)
;Middle East & North Africa (IDA & IBRD countries)
;Middle income
Moldova;Moldova
Monaco;Monaco
Mongolia;Mongolia
Montenegro;Montenegro
Montserrat;
Morocco;Morocco
Mozambique;Mozambique
Myanmar;Myanmar
Namibia;Namibia
Nauru;Nauru
Nepal;Nepal
Netherlands;Netherlands
Nevis;St Kitts and Nevis
New Caledonia;New Caledonia
New Zealand;New Zealand
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
Niue;
Norfolk Island;
North Korea;Korea, Dem People’s Rep
Northern Mariana Islands;
;Not classified
;OECD members
;North America
;Northern Mariana Islands
Norway;Norway
Oman;Oman
;Other small states
;Pacific island small states
Pakistan;Pakistan
Palau;Palau
Palestine;
Panama;Panama
Papua New Guinea;Papua New Guinea
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Pitcairn Islands;
Poland;Poland
Portugal;Portugal
;Post-demographic dividend
;Pre-demographic dividend
Puerto Rico;Puerto Rico
Qatar;Qatar
Republic of Congo;Congo, Rep
Reunion;
Romania;Romania
Russia;Russian Federation
Rwanda;Rwanda
Saba;
Saint Barthelemy;
Saint Helena;
Saint Kitts;St Kitts and Nevis
Saint Lucia;St Lucia
Saint Martin;St Martin (French part)
Saint Pierre and Miquelon;
Saint Vincent;St Vincent and the Grenadines
Samoa;Samoa
San Marino;San Marino
Sao Tome and Principe;Sao Tome and Principe
Saudi Arabia;Saudi Arabia
Senegal;Senegal
Serbia;Serbia
Seychelles;Seychelles
Siachen Glacier;
Sierra Leone;Sierra Leone
Singapore;Singapore
Sint Eustatius;
Sint Maarten;Sint Maarten (Dutch part)
Slovakia;Slovak Republic
Slovenia;Slovenia
;Small states
Solomon Islands;Solomon Islands
Somalia;Somalia
South Africa;South Africa
;South Asia
;South Asia (IDA & IBRD)
South Georgia;
South Sandwich Islands;
South Sudan;South Sudan
Spain;Spain
Sri Lanka;Sri Lanka
;Sub-Saharan Africa
;Sub-Saharan Africa (excluding high income)
;Sub-Saharan Africa (IDA & IBRD countries)
Sudan;Sudan
Suriname;Suriname
Swaziland;Swaziland
Sweden;Sweden
Switzerland;Switzerland
Syria;Syrian Arab Republic
Taiwan;
Tajikistan;Tajikistan
Tanzania;Tanzania
Thailand;Thailand
Timor-Leste;Timor-Leste
Tobago;Trinidad and Tobago
Togo;Togo
Tonga;Tonga
Trinidad;Trinidad and Tobago
Tunisia;Tunisia
Turkey;Turkey
Turkmenistan;Turkmenistan
Turks and Caicos Islands;Turks and Caicos Islands
;Tuvalu
Uganda;Uganda
Ukraine;Ukraine
United Arab Emirates;United Arab Emirates
UK;United Kingdom
;Upper middle income
Uruguay;Uruguay
USA;United States
Uzbekistan;Uzbekistan
Vanuatu;Vanuatu
Vatican;
Venezuela;Venezuela, RB
Vietnam;Vietnam
Virgin Islands;Virgin Islands (US)
Wallis and Futuna;
;West Bank and Gaza
Western Sahara;
;World
Yemen;Yemen, Rep
Zambia;Zambia
Zimbabwe;Zimbabwe
